Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
Super-Charlie,Camilla Läckberg,2013,9789174018745,3-6,"inbunden, ",57 kr,https://s2.adlibris.com/images/37105/super-charlie.jpg
Djungelpiraterna,Kjell Thorsson,2017,9789163895500,3-6,"kartonnage, ",99 kr,https://s1.adlibris.com/images/29297173/djungelpiraterna.jpg
Nina och snöleoparden,Emi Gunér,2017,9789129705867,3-6,"inbunden, ",108 kr,https://s1.adlibris.com/images/29596550/nina-och-snoleoparden.jpg
Pixibox: Vems Pixi?,Stina Wirsén,2015,9789163882883,3-6,"häftad, ",96 kr,https://s2.adlibris.com/images/15741111/pixibox-vems-pixi.jpg
Havsmonster i knipa,Kjell Thorsson,2017,9789163893971,3-6,"kartonnage, ",54 kr,https://s2.adlibris.com/images/29248391/havsmonster-i-knipa.jpg
Dödenboken,Pernilla Stalfelt,2011,9789129678079,3-6,"kartonnage, ",108 kr,https://s1.adlibris.com/images/66898/dodenboken.jpg
"Tant Grön, Tant Brun och Tant Gredelin",Elsa Beskow,1995,9789163832581,3-6,"inbunden, ",135 kr,https://s1.adlibris.com/images/57500/tant-gron-tant-brun-och-tant-gredelin.jpg
Mamma Mu simmar,Jujja Wieslander,2014,9789127137233,3-6,"inbunden, ",89 kr,https://s2.adlibris.com/images/12589328/mamma-mu-simmar.jpg
"God natt, min lilla kanin",Jörg Mühle,2015,9789150117240,0-3,"board book, ",75 kr,https://s1.adlibris.com/images/15766139/god-natt-min-lilla-kanin.jpg
"Är du feg, Alfons Åberg?",Gunilla Bergström,2007,9789129665574,3-6,"kartonnage, ",59 kr,https://s1.adlibris.com/images/138930/ar-du-feg-alfons-aberg.jpg
Alfons Åberg : De tre första berättelserna,Gunilla Bergström,2016,9789129699449,3-6,"cd-bok, ",49 kr,https://s1.adlibris.com/images/24919465/alfons-aberg-de-tre-forsta-berattelserna.jpg
Pixibox: Elsa Beskow,Elsa Beskow,2016,9789163887741,3-6,"häftad, ",96 kr,https://s1.adlibris.com/images/24987220/pixibox-elsa-beskow.jpg
Kaj lär sig simma (litet format),Katarina Ekstedt,2017,9789176178607,3-6,"inbunden, ",55 kr,https://s1.adlibris.com/images/29341654/kaj-lar-sig-simma-litet-format.jpg
